26,4,37,2026-05-04 16:32:05.52826+00,2026-05-04 16:49:04.302157+00
15,9,1121,2026-05-04 11:30:56.773134+00,2026-05-05 17:11:33.695124+00
37,1,32,2026-05-05 09:03:28.362721+00,2026-05-05 09:21:10.069594+00
13,5,140,2026-05-04 11:09:02.318514+00,2026-05-06 00:59:30.277369+00
24,5,4,2026-05-04 14:52:40.722214+00,2026-05-04 14:53:02.779222+00
24,10,2,2026-05-04 14:52:51.272637+00,2026-05-04 14:53:03.780275+00
28,18,11,2026-05-04 18:34:40.978173+00,2026-05-04 18:42:15.840821+00
28,10,6,2026-05-04 18:11:16.663639+00,2026-05-04 18:25:38.850194+00
28,7,13,2026-05-04 18:11:27.075321+00,2026-05-04 18:25:40.853107+00
28,8,11,2026-05-04 18:11:34.670861+00,2026-05-04 18:25:40.853107+00
28,1,39,2026-05-04 18:11:10.663091+00,2026-05-04 18:25:52.866863+00
26,19,21,2026-05-04 16:38:48.16531+00,2026-05-04 16:46:57.520397+00
26,8,22,2026-05-04 16:32:34.556684+00,2026-05-04 16:38:06.33055+00
16,6,23,2026-05-04 13:07:01.717245+00,2026-05-04 15:19:02.024981+00
26,17,33,2026-05-04 16:38:57.170373+00,2026-05-04 16:47:01.522505+00
25,4,26,2026-05-04 15:28:13.516434+00,2026-05-05 00:11:52.702343+00
26,15,38,2026-05-04 16:39:02.172317+00,2026-05-04 16:47:08.029204+00
26,12,84,2026-05-04 16:38:50.167398+00,2026-05-04 16:47:08.029204+00
26,11,102,2026-05-04 16:38:53.668619+00,2026-05-04 16:47:09.029837+00
41,1,367,2026-05-05 09:41:18.090387+00,2026-05-05 12:50:26.058717+00
48,9,32,2026-05-05 13:27:30.144244+00,2026-05-05 14:19:27.152807+00
31,1,1505,2026-05-05 02:44:04.732442+00,2026-05-06 01:03:36.803169+00
31,5,514,2026-05-05 02:43:43.718323+00,2026-05-06 01:03:41.449203+00
28,9,8,2026-05-04 18:11:23.667825+00,2026-05-04 18:34:34.774317+00
31,3,1063,2026-05-05 02:43:51.915462+00,2026-05-06 01:04:42.019555+00
34,1,1683,2026-05-05 04:38:29.947358+00,2026-05-06 01:03:56.972592+00
42,16,220,2026-05-05 10:01:33.649777+00,2026-05-05 12:33:38.489479+00
43,10,40,2026-05-05 11:02:05.736033+00,2026-05-05 12:44:41.796786+00
43,5,100,2026-05-05 10:59:39.577749+00,2026-05-05 12:44:42.796689+00
28,19,4,2026-05-04 18:34:48.987093+00,2026-05-04 18:41:42.320678+00
34,7,479,2026-05-05 04:38:57.957276+00,2026-05-06 01:02:45.393199+00
29,5,34,2026-05-04 19:29:24.684519+00,2026-05-04 19:58:52.546241+00
34,15,4,2026-05-05 12:00:36.16231+00,2026-05-05 12:01:37.667233+00
19,3,190,2026-05-04 14:04:14.947237+00,2026-05-05 17:34:04.893688+00
43,7,65,2026-05-05 11:00:36.65492+00,2026-05-05 12:44:42.796689+00
43,2,184,2026-05-05 10:59:36.073308+00,2026-05-05 12:44:45.29932+00
39,17,406,2026-05-05 09:24:15.87182+00,2026-05-05 12:30:39.584413+00
13,18,62,2026-05-04 13:05:16.44736+00,2026-05-05 06:14:35.578134+00
